,0
0,partie
1,histoire
2,chercher
3,police
4,pensais
5,aide
6,demande
7,genre
8,frère
9,laisser
10,car
11,laisse
12,eux
13,ville
14,chaque
15,parlé
16,arrivé
17,bébé
18,vont
19,pendant
20,aucune
21,parle
22,compris
23,savais
24,étaient
25,attention
26,pourrais
27,affaire
28,donner
29,type
30,leurs
31,donné
32,train
33,corps
34,endroit
35,yeux
36,façon
37,écoute
38,dont
39,trouve
40,premier
41,perdu
42,main
43,première
44,côté
45,pouvoir
46,vieux
47,sois
48,tiens
49,tellement
50,point
51,venu
52,pardon
53,venez
54,devant
55,minutes
56,demandé
57,chambre
58,mis
59,belle
60,aimerais
61,aujourd'hui
62,mari
63,cause
64,enfin
65,eau
66,attendez
67,parti
68,nouvelle
69,arrêter
70,dirait
71,terre
72,compte
73,donne
74,loin
75,fin
76,croire
77,chérie
78,gros
79,plutôt
80,aura
81,filles
82,jouer
83,bureau
